current_R,current_S,current_T
2.933909895,-0.494249528,-1.8286421800000003
3.1807645950000003,-0.553316736,-1.9844372040000005
2.7638544350000003,-0.08490004,-2.052597527
2.977795175,-0.2044081119999999,-2.1235399040000003
3.06145149,-0.4475452239999999,-1.9927833660000005
3.1629362000000003,-0.6824404,-1.8801101790000003
2.9160815,-0.3706204879999999,-1.973308988
2.9201957450000005,-0.377488768,-1.8995845570000005
3.0271661150000004,-0.628867816,-1.803603694
3.147850635,-0.869257616,-1.7159689930000002
3.06693715,-0.597273728,-1.8328152610000004
3.0271661150000004,-0.3678731759999999,-1.9204499620000004
3.09436545,-0.6741984639999999,-1.8300332070000005
3.2177928,-0.914588264,-1.7535267220000004
3.2616780800000003,-0.921456544,-1.7326613170000005
2.95448112,-0.464029096,-1.887065314
3.1355079000000003,-0.832168904,-1.7730011000000003
3.298706285,-1.064316768,-1.6895394800000003
3.2877349650000003,-1.247013016,-1.5838214280000005
3.01482338,-0.729144704,-1.7674369920000004
3.0093377200000004,-0.8472791199999999,-1.6756292100000003
3.194478745,-1.075306016,-1.5866034820000003
3.37139128,-1.319816784,-1.521225213
3.175278935,-1.010744184,-1.6658920210000003
3.2342497800000003,-1.03272268,-1.6352894270000002
3.422133635,-1.301959256,-1.5740842390000005
3.612760320000001,-1.576690456,-1.5253982940000002
3.2068214800000003,-1.258002264,-1.4808854300000005
2.9229385750000003,-0.98464472,-1.4586289980000002
3.0641943200000004,-1.212671616,-1.4029879180000002
3.2685351550000004,-1.455808728,-1.3417827300000005
3.44270486,-1.494271096,-1.3083980820000003
3.227392705,-1.333553344,-1.4739302950000002
3.433104955,-1.549217336,-1.4363725660000002
3.66213126,-1.8157066,-1.3807314860000002
3.3549343000000005,-1.720924336,-1.153994085
3.1533362950000003,-1.332179688,-1.3473468380000002
2.8324251850000004,-1.299211944,-1.153994085
3.1012225250000003,-1.55471196,-1.1192184100000002
3.2849921350000004,-1.803343696,-1.0691414380000002
3.2493353450000004,-1.633010352,-1.2124172190000002
3.3590485450000003,-1.69207756,-1.233282624
3.5976747550000003,-1.988787256,-1.1790325710000005
3.47561882,-2.082195864,-1.0399298710000002
3.1684218600000005,-1.887136712,-0.946731062
2.988766495,-1.615152824,-1.0176734390000002
2.909224425,-1.668725408,-0.8424040370000001
3.112193845,-1.93933564,-0.8312758210000002
3.3110490200000005,-2.194835656,-0.8062373350000002
3.1862502550000005,-2.00801844,-1.060795276
3.4824758950000003,-2.127526512,-1.0023721420000002
3.5880748500000004,-2.366542656,-0.936993873
3.194478745,-2.216814152,-0.7019103100000001
3.1163080900000004,-1.87065284,-0.8716156040000002
2.8598534850000004,-1.872026496,-0.7227757150000002
2.8680819750000004,-1.992908224,-0.6114935550000001
3.0833941300000003,-2.242913616,-0.6003653390000001
3.1601933700000004,-2.144010384,-0.7283398230000001
3.3137918500000003,-2.197582968,-0.8257117130000001
3.62647447,-2.512150192,-0.8145834970000001
3.2150499700000004,-2.428357176,-0.5781089070000001
2.95448112,-2.39264212,-0.5238588540000001
2.9311670650000003,-2.101427048,-0.6003653390000001
2.750140285,-2.146757696,-0.4125766940000001
2.8694533900000003,-2.336322224,-0.3485894520000001
3.0929940350000003,-2.582206648,-0.349980479
3.0833941300000003,-2.211319528,-0.6365320410000002
3.405676655,-2.579459336,-0.5975832850000001
3.2150499700000004,-2.601437832,-0.3889292350000001
2.9736809300000004,-2.627537296,-0.206704698
2.9750523450000004,-2.374784592,-0.3917112890000001
2.810482545,-2.389894808,-0.281820156
2.6637411400000004,-2.466819544,-0.105159727
2.848882165,-2.698967408,-0.080121241
2.97916659,-2.623416328,-0.199749563
3.1355079000000003,-2.624789984,-0.3680638300000001
3.1190509200000003,-2.74979268,-0.21505086
2.9147100850000003,-2.799244296,-0.009178864
2.846139335,-2.747045368,0.0255968109999999
2.8173396200000003,-2.546491592,-0.146890537
2.66099831,-2.670120632,0.082628918
2.5238568100000003,-2.7772658,0.253725239
2.8159682050000003,-3.042381408,0.253725239
2.8612249000000003,-2.68797816,-0.077339187
2.98190942,-2.896773872,-0.011960918
2.77619717,-2.953093768,0.175827727
2.6486555750000003,-3.025897536,0.365007399
2.714483495,-2.799244296,0.157744376
2.607513125,-2.795123328,0.168872592
2.48545719,-2.90089484,0.359443291
2.37848682,-2.998424416,0.5541870710000001
2.667855385,-2.995677104,0.353879183
2.8337966000000003,-2.940730864,0.085410972
2.6143702,-3.021776568,0.335795832
2.4950570950000004,-3.115185176,0.551405017
2.3812296500000003,-3.218209376,0.594526854
2.6033988800000003,-2.856937848,0.217558537
2.4443147400000003,-3.016281944,0.5082831800000001
2.33185871,-3.152273888,0.708591068
2.37848682,-3.314365296,0.857430957
